id,name,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
775137983823449655,Home in Vancouver · ★4.71 · 4 bedrooms · 4 beds · 1.5 baths,54149030,,Grandview-Woodland,49.28688078873269,-123.06167976121984,Entire home/apt,225,1,63,2023-12-03,5.74,1,339,63,23-158376
775333984911683419,Home in Vancouver · ★4.25 · 1 bedroom · 3 beds · 1 bath,490342149,,South Cambie,49.2449905,-123.1178185,Entire home/apt,141,1,32,2023-05-01,2.6,1,148,31,23-158677
776166449631598536,Home in Vancouver · ★4.88 · 3 bedrooms · 3 beds · 2 baths,213422034,,Kerrisdale,49.22283,-123.14469,Entire home/apt,207,3,25,2023-11-28,2.08,5,137,25,21-156541
776732819751344130,Guest suite in Vancouver · ★4.96 · 1 bedroom · 1 bed · 1 bath,409334293,,Arbutus Ridge,49.25320249471393,-123.1718400918512,Entire home/apt,154,2,26,2023-10-29,3.77,1,78,26,22-310970
776888971351739583,Home in Vancouver · ★4.67 · 2 bedrooms · 2 beds · 1 bath,490031768,,Victoria-Fraserview,49.23041,-123.0571,Entire home/apt,82,1,64,2023-11-22,5.44,2,78,64,22-310607
777106476710520529,Rental unit in Vancouver · ★4.99 · 2 bedrooms · 3 beds · 2 baths,245819920,,Downtown,49.27973,-123.12074,Entire home/apt,250,2,71,2023-12-10,5.92,2,37,71,23-163258
777620936976468053,Home in Vancouver · ★4.63 · 1 bedroom · 1 bed · 1 shared bath,454491500,,West Point Grey,49.26504062291546,-123.2137796465438,Private room,89,1,24,2023-11-29,2.85,4,307,24,22-251925
777802264541579499,Rental unit in Vancouver · ★4.97 · 1 bedroom · 1 bed · 1 bath,490654368,,Downtown,49.28738120000001,-123.1237839,Entire home/apt,299,3,31,2023-09-07,2.79,1,202,31,# 23-158624
779078120266788886,Rental unit in Vancouver · ★4.73 · 1 bedroom · 1 bed · 1 bath,490961850,,Downtown,49.28779,-123.12293,Entire home/apt,123,1,74,2023-12-07,6.67,1,193,74,23-170247
779888257712433166,Home in Vancouver · ★4.80 · 3 bedrooms · 3 beds · 2 baths,491098467,,Hastings-Sunrise,49.270504297760574,-123.03211725068702,Entire home/apt,199,1,35,2023-10-01,3.02,1,191,35,23-158597
780351322964363373,Home in Vancouver · ★4.76 · 1 bedroom · 2 beds · 1 bath,491171110,,Renfrew-Collingwood,49.24589,-123.03721,Entire home/apt,40,2,66,2023-12-09,5.59,4,63,66,23-172244
780461253140986859,Home in Vancouver · ★4.64 · 2 bedrooms · 2 beds · 1 bath,50029112,,Kensington-Cedar Cottage,49.24427,-123.07148,Entire home/apt,120,30,33,2023-10-03,2.76,1,306,33,22-311158
780704802382483693,Rental unit in Vancouver · ★4.88 · 1 bedroom · 1 bed · 1 bath,491238239,,Kitsilano,49.26001,-123.14852,Entire home/apt,159,2,58,2023-11-25,5.12,1,198,58,23-158673
781274178744211833,Guesthouse in Vancouver · ★4.90 · 2 bedrooms · 2 beds · 1.5 baths,5335111,,Hastings-Sunrise,49.2899795,-123.0437868,Entire home/apt,109,2,40,2023-11-26,3.48,16,271,40,23-171590
781314353009787171,Rental unit in Vancouver · ★4.80 · 1 bedroom · 1 bed · 1 bath,491346433,,Downtown Eastside,49.2781168,-123.0995864,Entire home/apt,116,2,61,2023-11-19,5.2,1,330,61,22-310496
781526387244147505,Rental unit in Vancouver · ★4.78 · 1 bedroom · 2 beds · 1 bath,82874575,,Downtown,49.27341,-123.12964,Entire home/apt,174,2,49,2023-12-05,4.16,1,36,49,23-156897
781945357451034232,Rental unit in Vancouver · ★4.94 · 1 bedroom · 1 bed · 1 bath,420199228,,West End,49.28225019470966,-123.12580580518915,Entire home/apt,153,3,32,2023-12-04,3.09,1,84,32,23-252236
782099100890749143,Rental unit in Vancouver · ★4.60 · 3 bedrooms · 3 beds · 2.5 baths,480478314,,Downtown,49.29062,-123.12818,Entire home/apt,560,30,10,2023-08-16,0.87,9,147,10,22-200101
782859964881605383,Home in Vancouver · ★4.76 · 3 bedrooms · 3 beds · 1 bath,264374,,Kitsilano,49.27282,-123.1497,Entire home/apt,225,1,68,2023-12-10,6.24,1,265,68,23-158535
783449724931059319,Guesthouse in Vancouver · ★4.87 · 1 bedroom · 2 beds · 1 bath,20916541,,Kensington-Cedar Cottage,49.2492167,-123.0628087,Entire home/apt,168,2,45,2023-11-29,3.85,5,96,45,23-158655
784894115932765966,Guest suite in Vancouver · ★4.80 · 1 bedroom · 2 beds · 1 bath,491929860,,Kensington-Cedar Cottage,49.246684852068654,-123.06196226311378,Entire home/apt,88,1,55,2023-11-27,4.8,1,180,55,22-308356
785141383639941686,Home in Vancouver · ★4.56 · 1 bedroom · 1 bed · 1 bath,491574572,,Mount Pleasant,49.26160155651408,-123.08955123972034,Entire home/apt,97,1,25,2023-10-19,2.09,2,77,25,23-158698
785160449385995727,Home in Vancouver · ★4.0 · 1 bedroom · 2 beds · 1 shared bath,200467062,,West Point Grey,49.2621356,-123.2022635,Private room,70,1,15,2023-11-26,1.3,18,90,15,23-208101
785586788597305231,Home in Vancouver · ★4.24 · 1 bedroom · 1 bed · 1 shared bath,200467062,,West Point Grey,49.2621356,-123.2022635,Private room,59,1,25,2023-10-29,2.21,18,178,25,23-208101
786043260900322751,Home in Vancouver · ★4.27 · 1 bedroom · 1 bed · 1 shared bath,200467062,,West Point Grey,49.2621356,-123.2022635,Private room,49,1,11,2023-10-21,0.94,18,169,11,Exempt
786429317264567226,Home in Vancouver · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,257431562,,Killarney,49.22769568085145,-123.04247432041322,Private room,59,2,32,2023-11-06,3.03,2,146,32,23-156789
786468734150465231,Home in Vancouver · ★4.85 · 3 bedrooms · 3 beds · 2 baths,104828968,,Riley Park,49.2536267,-123.1042341,Entire home/apt,199,3,20,2023-11-26,2.71,1,80,20,23-163290
787070840956286074,Home in Vancouver · ★4.92 · 4 bedrooms · 2 baths,292767203,,Kensington-Cedar Cottage,49.24810641825255,-123.06494601626119,Entire home/apt,356,1,37,2023-11-15,3.32,1,226,37,23-171431
788322480886030725,Rental unit in Vancouver · ★4.74 · 3 bedrooms · 4 beds · 2 baths,245994828,,Downtown,49.27848551705837,-123.1059498494046,Entire home/apt,265,1,46,2023-11-20,3.97,1,159,46,23-163305
789194123181151805,Rental unit in Vancouver · ★4.78 · 1 bedroom · 2 beds · 1 bath,453373158,,West End,49.28271781561744,-123.12537436778821,Entire home/apt,55,5,40,2023-11-02,3.56,3,41,40,23-184597
790553076076537355,Loft in Vancouver · ★4.83 · 2 bedrooms · 2 beds · 1.5 baths,492724474,,Downtown,49.2792118,-123.1214803,Entire home/apt,180,2,58,2023-12-04,6.11,1,66,58,23-168858
790584045658409816,Home in Vancouver · ★4.92 · 1 bedroom · 1 bed · 1 private bath,419140135,,Kensington-Cedar Cottage,49.2377703,-123.0692329,Private room,88,1,75,2023-12-03,7.19,6,341,75,23-168347
792038824743590871,Boutique hotel in Vancouver · ★5.0 · Studio · 2 beds · 1 bath,224853071,,West End,49.289675158103734,-123.1380852481632,Private room,260,1,11,2023-10-24,0.94,11,314,11,Exempt
792767566503426938,Home in Vancouver · ★4.86 · 1 bedroom · 2 beds · 1 bath,473089510,,Renfrew-Collingwood,49.24477061423001,-123.03125951439141,Entire home/apt,119,1,43,2023-11-21,3.73,2,68,43,23-163276
793506296433217033,Home in Vancouver · ★5.0 · 1 bedroom · 2 beds · 1 private bath,88405737,,Renfrew-Collingwood,49.24946250086645,-123.04893857581449,Private room,114,2,23,2023-10-25,3.71,1,178,23,23-230772
793625566805364379,Home in Vancouver · ★4.74 · 2 bedrooms · 2 beds · 1 bath,12708201,,Sunset,49.23225919999999,-123.10178,Entire home/apt,163,1,57,2023-11-14,6.92,2,339,57,22-304759
794392552301862809,Home in Vancouver · ★4.97 · 1 bedroom · 1 bed · 1 shared bath,489972729,,Renfrew-Collingwood,49.24237532124759,-123.04880713507511,Private room,62,2,35,2023-12-07,3.12,2,85,35,23-169170
